263.0888154,253.03906
251.4608879,246.82031
221.9270638,239.20312
232.7837885,230.72656
226.7935173,224.83594
226.2013782,219.39062
221.0285636,215.20312
220.2501889,221.42188
218.9093498,231.64844
222.9315241,231.91406
224.0902825,225.77344
238.0985733,219.41406
231.5908437,211.84375
201.3824657,201.00781
187.9969899,188.90625
170.8424947,178.02344
181.4373842,170.125
171.4486622,165.41406
164.3449538,163.63281
172.9206656,165.83594
162.7228347,166.63281
159.8692236,163.40625
181.194994,162.59375
187.2477689,164.60156
175.8717757,165.3125
162.2763957,162.58594
158.2721444,156.74219
166.7236716,152.14844
162.6277216,147.77344
146.9178863,143.27344
152.5559677,140.28125
143.6498971,141.0625
136.8811278,142.92188
138.7725282,140.64062
139.9314512,136.57812
140.0626979,131.95312
134.0252541,126.5
102.1477626,121.51563
118.1615456,119.04688
96.56772815,120.28125
130.5317417,126.04688
167.8197618,136.92188
148.5742192,148.53125
134.838446,152.26562
145.3021711,148.92188
158.0769404,142.5
158.4176114,136
145.009756,131.45312
143.8360094,131.70312
161.820056,140.9375
150.1535814,154.53125
168.5800491,165.25
182.6732505,170.59375
183.16113,170.9375
197.0185509,175.9375
191.8602309,184.32812
181.6755919,187.25
180.388302,182.96875
186.4112786,177.15625
183.5701738,174.9375
194.7143631,180.98438
193.8111456,188.82812
201.7053098,191.90625
218.9054142,193.5625
210.173128,193.6875
191.4092667,193.78125
193.6012003,198.10938
220.4992024,207.98438
218.368552,223.23438
237.5570487,247.09375
274.5019158,278.03125
314.898361,322
333.5804245,349.34375
362.4462768,352.5
362.7710819,345.53125
358.9140116,333.59375
349.9839983,320.21875
306.8039054,308.84375
333.6172575,304.5625
333.8734155,309.15625
369.8214879,335.9375
368.1477121,395.59375
391.7299903,432.28125
416.1759927,434.46875
434.1177212,422.0625
417.1987323,405.1875
391.3908141,382.03125
380.7099855,359.375
372.306385,339.1875
357.2152508,333.40625
353.3898575,352.53125
360.5677117,373.28125
377.3258476,374.8125
392.2797152,367.84375
393.8851731,365
386.8577226,362.53125
370.5354118,361.3125
377.4593295,363.1875
413.3399616,376.21875
385.4883743,404.65625
458.8847164,430.6875
497.5445531,465.34375
527.4744484,526.65625
545.5245915,579.25
565.2659259,609.9375
574.0810521,602.90625
571.7800183,564.6875
535.5101851,518.78125
512.7629161,483.75
496.2670542,460.78125
483.9468967,443.6875
449.6085332,424.25
439.4306958,399.71875
435.1476738,380.96875
465.850349,400.03125
482.1559299,491.4375
513.8214465,578.9375
580.6714434,596.40625
588.9331147,577.28125
581.9343517,546.125
550.852239,514.71875
542.5351125,490.25
509.4685707,489.59375
508.1161442,493.59375
516.2622977,506.03125
522.4215536,525.90625
548.2657563,531.03125
550.3892348,526.09375
551.5410133,547.8125
571.018291,595.125
624.4514231,604.46875
599.2857923,598.9375
629.8040831,588.375
610.9082895,578.46875
616.7336624,565.9375
