16.0220342,19.367188
13.12292017,19.203125
15.75266341,19.03125
17.28949055,18.84375
18.05300834,18.679688
18.22527209,18.492188
18.34507538,18.546875
21.59331027,19.359375
25.75621415,20.882812
24.57871278,22.109375
23.06530734,22.640625
26.50525572,23.023438
26.82424385,23.390625
21.45814651,23.171875
16.76237682,22.125
15.3600818,20.898438
14.03452635,20.078125
20.13696585,19.640625
20.8044086,19.367188
15.58365835,19.101562
18.19513216,18.851562
20.00842736,18.59375
20.92964414,18.34375
26.10575279,18.171875
23.60435768,18.070312
19.76865975,17.945312
16.896697,17.789062
12.7228578,17.601562
7.918695745,17.414062
11.27870923,17.226562
11.73702897,17.1875
21.20077735,17.5
25.13901956,17.75
22.23684992,17.5
18.16561143,17.140625
13.14729971,16.875
13.42952651,16.671875
14.47716023,16.484375
11.3633786,16.296875
9.20796298,16.109375
14.19118725,15.921875
8.112703979,15.765625
8.011450678,15.625
9.020594407,15.46875
4.303608402,15.3125
4.545167207,15.15625
7.318109432,15.015625
19.04739917,14.921875
16.72792324,14.8125
11.61742267,14.65625
10.99910754,14.59375
16.24983061,14.609375
16.99087017,14.6875
11.10991223,14.671875
8.017115887,14.5625
1.581913688,14.390625
6.198235158,14.203125
7.192832945,14.046875
6.167504248,13.90625
4.364469282,13.78125
3.882743903,13.625
3.331707973,13.515625
9.556470176,13.390625
9.099171377,13.25
11.54706684,13.4375
27.76204567,16.125
37.14277534,24.359375
29.75888635,36.609375
36.13513175,39.375
34.27729731,35.6875
35.46734758,31
30.06526581,27.21875
35.36876254,25.25
24.3517558,24.75
16.05931457,23.1875
16.46528452,20.90625
14.47994138,18.78125
15.574906,17.375
15.69858108,16.625
8.949489337,16.03125
16.31062951,15.8125
43.66102614,16.90625
35.54274056,20.71875
22.15375539,26.25
30.16023636,27.9375
30.3275609,27.625
24.59374069,27.34375
27.25213259,27.21875
30.03727067,28.8125
38.45283198,35.9375
45.10817663,51.28125
50.90344317,60.5
61.32860985,59.28125
61.73930708,56
60.48747626,53.59375
52.59834889,51.90625
51.52167806,48.5
48.85128287,44.96875
39.65133081,42.28125
38.1184463,38.75
38.18338096,35.34375
35.23413884,33.0625
30.33436712,31.75
39.34821833,32.84375
49.39797832,37.5
44.43359731,41.78125
37.39570994,41.625
39.33146065,38.21875
40.65544845,34.4375
25.89349836,31.15625
21.40726808,28.5625
25.26109103,26.9375
26.70157918,26.21875
34.95122589,27.8125
55.19590758,33.5
52.79997234,40.1875
47.30207229,43.1875
48.24747938,42.25
45.30439717,40.5625
40.77270577,39.28125
38.74265518,36.96875
36.13457176,34.28125
43.34519986,34.03125
40.59650106,36.5625
37.06549875,36.53125
27.87480757,34.5
31.18743317,33.21875
31.86809272,33.34375
39.83406728,35.34375
