604.1278125,577.21875
541.1921875,532.25
510.0175,497.40625
534.653125,525.15625
561.8696875,571.84375
545.9534375,549.78125
498.333125,495.3125
464.3234375,445.5
415.59,404.40625
383.6240625,369.28125
353.6421875,344.15625
332.209375,331.90625
324.1621875,332.90625
316.9721875,318.65625
290.7357814,290.9375
268.672032,264.1875
237.0674998,239.5
225.1121875,219.21875
207.8481241,202.09375
199.2404685,190.53125
214.917031,220.125
269.016562,302.125
321.655,323.375
309.2421875,290.625
269.5101572,258.625
244.1532812,235.40625
222.1498434,216.6875
241.2864051,239.0625
318.6887505,346.46875
414.8996875,440.53125
483.5865625,494.03125
518.9734375,534.15625
510.3153125,510.90625
472.95125,458.4375
404.791875,411.375
361.2509375,371.84375
345.5728125,335.5
304.161094,301.875
264.8057815,270.34375
242.2075,241.71875
212.8192189,218.4375
193.9285939,197.03125
177.6803089,177.57812
160.6334344,160.26562
144.8459376,144.15625
129.6365624,129.71875
117.3039063,116.67188
122.809375,105.45313
107.3570312,96.03125
91.00515625,88.26563
80.0255468,80.84375
74.77734383,73.6875
67.3745313,66.71875
68.3807812,61.10938
65.4496875,57.10938
60.9985937,53.5625
59.15031234,51.01563
56.70742175,49
53.811406,48.64063
57.71015629,52.23438
62.39734377,61.5
71.7796875,74.25
78.72765625,79.85938
90.65304685,81.46875
94.18859375,90.98438
136.7490595,142.64062
221.1503128,234.96875
283.7028122,293.875
284.6523448,287.5
271.8943723,259.20312
247.0984404,248.79688
244.4631218,235.32812
242.6910933,224.53125
239.5329654,223.89062
233.8246875,228
227.3593778,223.73438
221.956253,228.10938
248.0793744,251.5
277.551878,285.79688
281.9885972,285.42188
266.5354718,268.98438
254.1467185,252.34375
250.360468,242.40625
234.6940621,235.1875
228.2020282,221.07812
208.2409375,203.09375
189.7157817,187.15625
178.0914062,184.34375
181.1171842,184.32812
165.3109404,169.98438
145.2553127,153.25
137.0860937,137.90625
122.1754688,124.04688
111.4425,111.5625
97.706875,100.53125
94.26585935,93.96875
87.2575,90.125
75.97249995,82.65625
73.79570298,76.42188
77.77367185,80.20313
88.0803125,90.5
