256.9953886,253.03906
245.9149981,246.82031
241.0362461,239.20312
232.4984349,230.72656
226.540314,224.83594
222.2236686,219.39062
216.216403,215.20312
220.3276596,221.42188
227.1850015,231.64844
230.2777334,231.91406
229.9137515,225.77344
222.6563266,219.41406
215.0667188,211.84375
204.1887483,201.00781
192.9164062,188.90625
179.7226571,178.02344
172.0494533,170.125
166.8025761,165.41406
162.5518744,163.63281
166.3465638,165.83594
163.8071873,166.63281
161.7435947,163.40625
165.2935157,162.59375
163.3848424,164.60156
164.2874224,165.3125
163.0321897,162.58594
159.2219544,156.74219
153.1227354,152.14844
148.7558607,147.77344
145.4498458,143.27344
139.5756249,140.28125
141.4149995,141.0625
140.5007839,142.92188
141.6878097,140.64062
137.4573403,136.57812
134.5904653,131.95312
127.7153125,126.5
124.6279694,121.51563
120.5879688,119.04688
120.0795313,120.28125
123.3715625,126.04688
132.9770346,136.92188
143.9781243,148.53125
148.7741378,152.26562
149.6616428,148.92188
143.9337513,142.5
137.2685942,136
133.146559,131.45312
132.5339027,131.70312
136.1315618,140.9375
150.987969,154.53125
159.5271097,165.25
168.5049223,170.59375
171.4127333,170.9375
175.099687,175.9375
184.1078092,184.32812
185.3998444,187.25
183.8228127,182.96875
178.8223439,177.15625
174.055,174.9375
178.6125815,180.98438
186.0039813,188.82812
188.6606247,191.90625
192.796562,193.5625
194.7164072,193.6875
194.7003137,193.78125
196.5171909,198.10938
201.4040656,207.98438
216.8821906,223.23438
235.4068751,247.09375
269.2908583,278.03125
306.7587492,322
340.4728118,349.34375
350.6418749,352.5
350.1571877,345.53125
340.1310158,333.59375
320.0108581,320.21875
323.3837505,308.84375
308.9259374,304.5625
305.4985147,309.15625
327.5075783,335.9375
373.4417173,395.59375
416.3117189,432.28125
427.8518742,434.46875
424.6916404,422.0625
412.8408596,405.1875
398.2735142,382.03125
372.2113283,359.375
343.3610172,339.1875
342.8574201,333.40625
357.7874998,352.53125
367.5604684,373.28125
375.2921865,374.8125
371.9202341,367.84375
365.315314,365
365.1656257,362.53125
362.763205,361.3125
365.4184376,363.1875
373.2312506,376.21875
389.6823415,404.65625
420.9398434,430.6875
482.2296122,465.34375
507.2293757,526.65625
562.0723437,579.25
582.2898425,609.9375
595.0378122,602.90625
585.8828905,564.6875
536.4718745,518.78125
501.951561,483.75
470.7017184,460.78125
442.7604691,443.6875
432.1675776,424.25
411.0227346,399.71875
