12.76494126,19.36719
11.74811646,19.20313
18.02927179,19.03125
19.8019477,18.84375
17.17770863,18.67969
10.40788227,18.49219
15.19027936,18.54688
24.01699164,19.35938
50.44811928,20.88281
34.49277889,22.10938
32.15199727,22.64063
32.07826877,23.02344
29.27513792,23.39063
17.20214462,23.17188
16.00108488,22.125
20.61690114,20.89844
25.02969507,20.07813
27.0544335,19.64063
26.49523011,19.36719
22.26423194,19.10156
25.27683498,18.85156
21.14382424,18.59375
20.61307638,18.34375
19.53499782,18.17188
22.06798264,18.07031
24.92385007,17.94531
20.89612656,17.78906
18.03823165,17.60156
10.73011414,17.41406
10.33495058,17.22656
8.466124379,17.1875
14.59599793,17.5
25.19096373,17.75
24.89583722,17.5
27.51950522,17.14063
1.48250526,16.875
8.97606624,16.67188
9.73142155,16.48438
13.37179483,16.29688
12.93416047,16.10938
8.504513669,15.92188
-12.0832568,15.76563
-0.300932222,15.625
13.61214401,15.46875
10.69508479,15.3125
10.30970449,15.15625
16.1295863,15.01563
18.72625076,14.92188
12.82582317,14.8125
11.75751901,14.65625
13.69079513,14.59375
24.37899839,14.60938
14.94173615,14.6875
16.53375398,14.67188
5.562456265,14.5625
3.638281665,14.39063
5.114542855,14.20313
4.425332929,14.04688
2.327636261,13.90625
5.076419174,13.78125
5.236829033,13.625
9.041127055,13.51563
7.460919957,13.39063
-2.628725579,13.25
17.00274343,13.4375
23.59227471,16.125
51.24934519,24.35938
34.25843689,36.60938
33.54075815,39.375
33.74440908,35.6875
37.55530748,31
32.43771239,27.21875
33.30746088,25.25
42.36087449,24.75
37.99024148,23.1875
32.66846425,20.90625
19.14813896,18.78125
21.2178582,17.375
22.57438305,16.625
26.59102183,16.03125
46.68355187,15.8125
45.00333872,16.90625
40.66885947,20.71875
34.33311273,26.25
39.03669491,27.9375
26.06051744,27.625
27.69027824,27.34375
40.48549218,27.21875
41.20359589,28.8125
56.75582661,35.9375
37.16561104,51.28125
44.8650275,60.5
54.54575539,59.28125
62.18847328,56
51.19516104,53.59375
45.09057785,51.90625
50.55724013,48.5
44.79024541,44.96875
41.44947415,42.28125
46.9978022,38.75
49.42872693,35.34375
48.5590205,33.0625
38.49979378,31.75
46.36020002,32.84375
49.52759972,37.5
67.32044664,41.78125
52.92780089,41.625
48.58783682,38.21875
45.79250379,34.4375
47.86890529,31.15625
52.12271038,28.5625
43.36313951,26.9375
52.4461729,26.21875
52.45399507,27.8125
45.10828952,33.5
57.63791704,40.1875
56.85127747,43.1875
49.99849712,42.25
38.39911044,40.5625
35.49682349,39.28125
44.00450005,36.96875
38.96977927,34.28125
32.64586096,34.03125
42.58719068,36.5625
43.67443052,36.53125
45.03501033,34.5
49.815422,33.21875
49.00012105,33.34375
49.80961402,35.34375
53.70745053,41.65625
51.39145461,49.84375
59.40435114,52.25
49.93957186,51.34375
49.84653361,47.3125
