135.1802566,122.30469
87.52392128,121.17969
130.1914019,120.05469
276.4653115,118.91406
248.1120584,117.75781
200.6267582,116.5625
166.2462369,115.36719
123.9255783,114.21875
115.4621371,113.125
148.5753483,112.07031
153.8757147,111
125.3568145,109.91406
78.28727308,108.84375
84.07819346,107.78125
137.4892088,106.72656
176.1390968,105.67188
164.3327799,104.60156
165.2047391,103.48438
147.4888227,102.375
185.3391252,101.3125
141.2325456,100.28906
206.9471668,99.22656
138.1306626,98.17188
191.8709357,97.17188
162.8733639,96.21875
103.4004863,95.28906
130.4855846,94.33594
159.1798442,93.39063
148.2883976,92.45313
146.917594,91.53125
156.2675974,90.60938
214.8870582,89.67188
160.2994777,88.75
140.0380474,87.82813
159.6190577,86.9375
204.4140217,86.03125
159.8354412,85.60938
82.32164423,86.92188
147.7418422,89.29688
151.9719004,89.51563
149.6255693,87.6875
196.7147382,85.8125
156.9864494,84.26563
133.6188225,82.90625
212.4607739,81.65625
209.663673,80.5
175.8917219,79.40625
157.0726885,78.59375
158.7622252,79.98438
227.4687577,81.125
165.3482786,80.17188
214.8014391,78.65625
179.2314548,77.23438
156.1067396,75.875
198.2351534,74.5625
219.0746329,73.34375
148.9403706,72.26563
155.8984165,71.1875
189.4965424,70.07813
149.8780543,69.04688
155.138567,70.90625
154.1878626,87.10938
178.0447392,112.34375
167.1877156,127.76563
185.8582384,133.07812
250.7701525,133.25
241.809941,144.73438
226.1179665,186.45312
234.5347228,257.03125
213.8152212,291.4375
225.1001052,276.6875
213.9139467,247.8125
181.3423307,221.6875
230.1252055,199.46875
247.3555871,180.75
244.486615,165.375
267.077229,152.6875
182.0852252,142.4375
201.6424708,134.25
126.161061,127.46875
265.6326405,121.9375
253.8858368,116.84375
176.044145,113.3125
100.4306666,112.5625
272.5965127,116.21875
176.8963379,117.03125
259.6433445,115.625
198.5791051,121.71875
179.3161438,125.21875
211.8803087,124.40625
208.1343207,121.03125
289.3378316,116.78125
282.0652005,112.5
259.5696024,108
246.9900409,103.46875
168.5266512,99.4375
295.7905548,96.0625
278.6885217,93.375
226.3652773,91.09375
133.1680367,89.21875
87.73073165,87.875
62.6734451,94.46875
112.2380205,126.4375
268.2886607,187.09375
211.2380211,255.8125
248.703043,288.125
283.2434279,276.625
